Daily mean flow
[%Y-%m-%d],  [l/s]
date,S2
2017-09-07,171.83208333333334
2017-09-08,198.18083333333334
2017-09-09,277.92583333333334
2017-09-10,148.62208333333334
2017-09-11,82.93249999999999
2017-09-12,101.57541666666667
2017-09-13,424.4295833333333
2017-09-14,590.0075
2017-09-15,389.35083333333336
2017-09-16,236.13208333333333
2017-09-17,162.50458333333333
2017-09-18,131.42958333333334
2017-09-19,109.37
2017-09-20,92.86541666666666
2017-09-21,78.59416666666667
2017-09-22,69.74583333333334
2017-09-23,58.8325
2017-09-24,54.40083333333333
2017-09-25,51.31
2017-09-26,50.11541666666667
2017-09-27,43.586666666666666
2017-09-28,41.46
2017-09-29,40.055416666666666
2017-09-30,79.26083333333334
2017-10-01,151.34166666666667
2017-10-02,195.12
2017-10-03,190.75041666666667
2017-10-04,280.4158333333333
2017-10-05,437.00458333333336
2017-10-06,298.31041666666664
2017-10-07,259.3704166666667
2017-10-08,230.33416666666668
2017-10-09,159.39958333333334
2017-10-10,139.56208333333333
2017-10-11,137.12041666666667
2017-10-12,230.24125
2017-10-13,169.35208333333333
2017-10-14,143.53625
2017-10-15,132.01458333333332
2017-10-16,119.2075
2017-10-17,108.14958333333334
2017-10-18,103.81333333333333
2017-10-19,111.13541666666667
2017-10-20,106.77541666666667
2017-10-21,116.89041666666667
2017-10-22,139.94291666666666
2017-10-23,124.62708333333335
2017-10-24,117.56166666666667
2017-10-25,160.83166666666668
2017-10-26,137.18208333333334
2017-10-27,113.75125000000001
2017-10-28,105.69708333333334
2017-10-29,129.27625
2017-10-30,104.29375
2017-10-31,93.77
2017-11-01,95.9775
2017-11-02,188.68416666666667
2017-11-03,132.1425
2017-11-04,114.2075
2017-11-05,103.08958333333334
2017-11-06,89.75541666666668
2017-11-07,83.2525
2017-11-08,79.01541666666667
2017-11-09,78.68124999999999
2017-11-10,102.60583333333334
2017-11-11,134.44041666666666
2017-11-12,128.97375
2017-11-13,109.50041666666668
2017-11-14,105.29583333333333
2017-11-15,102.8825
2017-11-16,104.83333333333333
2017-11-17,111.22583333333334
2017-11-18,157.02916666666667
2017-11-19,177.9325
2017-11-20,139.24791666666667
2017-11-21,121.28500000000001
2017-11-22,229.58333333333334
2017-11-23,171.95708333333334
2017-11-24,147.21833333333333
2017-11-25,139.275
2017-11-26,224.0325
2017-11-27,233.7325
2017-11-28,276.2245833333333
2017-11-29,188.4120833333333
2017-11-30,160.75
2017-12-01,139.95624999999998
2017-12-02,126.20458333333333
2017-12-03,134.35166666666666
2017-12-04,124.99458333333332
2017-12-05,117.005
2017-12-06,112.19458333333334
2017-12-07,135.73166666666665
2017-12-08,151.57291666666666
2017-12-09,157.15708333333333
2017-12-10,148.78791666666666
2017-12-11,132.56666666666666
2017-12-12,121.87291666666665
2017-12-13,179.02958333333333
2017-12-14,221.1604166666667
2017-12-15,159.59666666666666
2017-12-16,134.21458333333334
2017-12-17,112.59791666666666
2017-12-18,101.39666666666666
2017-12-19,96.62374999999999
2017-12-20,95.37374999999999
2017-12-21,90.8525
2017-12-22,85.56833333333333
2017-12-23,84.42875
2017-12-24,92.92041666666667
2017-12-25,145.92041666666668
2017-12-26,161.08291666666665
2017-12-27,161.15625
2017-12-28,128.57416666666668
2017-12-29,129.12041666666667
2017-12-30,123.46375
2017-12-31,149.02458333333334
2018-01-01,216.3841666666667
2018-01-02,182.79333333333332
2018-01-03,251.2145833333333
2018-01-04,199.68458333333334
2018-01-05,175.955
2018-01-06,161.3725
2018-01-07,135.73291666666668
2018-01-08,118.12
2018-01-09,110.44
2018-01-10,106.85916666666667
2018-01-11,102.03583333333334
2018-01-12,109.04541666666667
2018-01-13,110.58458333333333
2018-01-14,102.35541666666667
2018-01-15,98.17708333333333
2018-01-16,149.54125
2018-01-17,130.58708333333334
2018-01-18,143.38916666666668
2018-01-19,149.20000000000002
2018-01-20,131.93416666666667
2018-01-21,119.15541666666667
2018-01-22,110.45833333333333
2018-01-23,113.43166666666667
2018-01-24,164.18583333333333
2018-01-25,181.49333333333334
2018-01-26,130.55208333333334
2018-01-27,113.15249999999999
2018-01-28,179.12875
2018-01-29,173.97666666666666
2018-01-30,143.26541666666665
2018-01-31,132.94416666666666
2018-02-01,144.69833333333335
2018-02-02,170.15083333333334
2018-02-03,133.20666666666668
2018-02-04,110.85833333333333
2018-02-05,101.245
2018-02-06,94.42791666666666
2018-02-07,84.54666666666667
2018-02-08,80.7675
2018-02-09,75.825
2018-02-10,70.52708333333332
2018-02-11,83.5175
2018-02-12,175.01874999999998
2018-02-13,138.57
2018-02-14,112.08625
2018-02-15,98.44333333333333
2018-02-16,104.86083333333333
2018-02-17,114.84375
2018-02-18,106.77749999999999
2018-02-19,98.07083333333333
2018-02-20,103.89208333333333
2018-02-21,91.32875
2018-02-22,83.83625
2018-02-23,76.07208333333334
2018-02-24,69.74125
2018-02-25,65.35583333333334
2018-02-26,61.968333333333334
2018-02-27,59.151666666666664
2018-02-28,96.06041666666665
2018-03-01,93.12625000000001
2018-03-02,49.86291666666667
2018-03-03,46.77291666666667
2018-03-04,44.63375
2018-03-05,46.219166666666666
2018-03-06,51.074999999999996
2018-03-07,48.659166666666664
2018-03-08,58.918749999999996
2018-03-09,81.12916666666666
2018-03-10,84.53791666666667
2018-03-11,154.46458333333334
2018-03-12,135.28416666666666
2018-03-13,116.08208333333333
2018-03-14,94.16000000000001
2018-03-15,83.32125
2018-03-16,70.84375
2018-03-17,61.89291666666667
2018-03-18,56.3325
2018-03-19,53.5875
2018-03-20,49.63999999999999
2018-03-21,47.946666666666665
2018-03-22,56.497083333333336
2018-03-23,52.571666666666665
2018-03-24,50.29416666666666
2018-03-25,47.935
2018-03-26,46.22291666666666
2018-03-27,45.65708333333333
2018-03-28,45.1525
2018-03-29,50.02916666666667
2018-03-30,56.30083333333334
2018-03-31,61.69166666666666
2018-04-01,54.574999999999996
2018-04-02,48.89208333333334
2018-04-03,108.36333333333333
2018-04-04,128.34083333333334
2018-04-05,128.2525
2018-04-06,99.02958333333333
2018-04-07,83.81083333333333
2018-04-08,73.31041666666667
2018-04-09,65.67916666666666
2018-04-10,59.298750000000005
2018-04-11,54.70083333333333
2018-04-12,51.95166666666666
2018-04-13,48.395833333333336
2018-04-14,48.502916666666664
2018-04-15,44.50791666666667
2018-04-16,42.53375
2018-04-17,39.053333333333335
2018-04-18,36.98583333333333
2018-04-19,36.350833333333334
2018-04-20,36.787083333333335
2018-04-21,34.382083333333334
2018-04-22,33.89541666666667
2018-04-23,32.05416666666667
2018-04-24,30.775833333333335
2018-04-25,37.830416666666665
2018-04-26,33.72
2018-04-27,30.192083333333333
2018-04-28,29.497500000000002
2018-04-29,27.955416666666665
2018-04-30,70.87166666666667
2018-05-01,76.90916666666668
2018-05-02,60.487500000000004
2018-05-03,50.48416666666666
2018-05-04,43.06458333333333
2018-05-05,38.52458333333333
2018-05-06,34.845416666666665
2018-05-07,32.962916666666665
2018-05-08,31.523749999999996
2018-05-09,29.278333333333332
2018-05-10,32.727916666666665
2018-05-11,27.89125
2018-05-12,25.765833333333333
2018-05-13,24.524583333333336
2018-05-14,22.60625
2018-05-15,21.56833333333333
2018-05-16,20.534583333333334
2018-05-17,20.131249999999998
2018-05-18,18.91625
2018-05-19,17.74833333333333
2018-05-20,16.489583333333332
