      date,       T,       P,      Ep,       I,      Ea,    Dsum
1977-01-01,   5.800,   0.000,   0.073,   0.000,   0.073,   0.000
1977-01-02,   4.500,   0.000,   0.060,   0.000,   0.060,   0.000
1977-01-03,   4.000,   0.141,   0.042,   0.000,   0.042,   0.000
1977-01-04,   4.800,   1.551,   0.036,   0.000,   0.036,   0.761
1977-01-05,   4.100,   3.102,   0.078,   0.000,   0.078,   2.172
1977-01-06,   0.700,   0.987,   0.083,   0.000,   0.083,   1.415
1977-01-07,   4.100,   2.961,   0.147,   0.000,   0.147,   2.275
1977-01-08,   6.800,   0.846,   0.065,   0.000,   0.065,   1.355
1977-01-09,   6.800,   1.692,   0.037,   0.000,   0.037,   1.521
1977-01-10,   3.900,   1.692,   0.119,   0.000,   0.119,   1.569
1977-01-11,   3.600,   0.282,   0.171,   0.000,   0.171,   0.681
1977-01-12,   5.200,   9.588,   0.037,   0.000,   0.037,   6.103
1977-01-13,   5.000,   2.115,   0.282,   0.000,   0.282,   3.600
1977-01-14,   6.000,  10.152,   0.085,   0.000,   0.085,   7.507
1977-01-15,   7.400,   4.653,   0.081,   0.000,   0.081,   5.760
1977-01-16,   7.300,   0.987,   0.102,   0.000,   0.102,   2.736
1977-01-17,   5.900,   0.141,   0.300,   0.000,   0.300,   0.969
1977-01-18,   6.000,   0.000,   0.101,   0.000,   0.101,   0.347
1977-01-19,   6.300,   0.000,   0.130,   0.000,   0.130,   0.125
1977-01-20,   5.600,   3.102,   0.218,   0.000,   0.218,   1.635
1977-01-21,   3.700,   1.692,   0.040,   0.000,   0.040,   1.640
1977-01-22,   3.500,   0.423,   0.293,   0.000,   0.293,   0.753
1977-01-23,   4.100,   0.564,   0.103,   0.000,   0.103,   0.528
1977-01-24,   6.500,   0.000,   0.070,   0.000,   0.070,   0.188
1977-01-25,   2.200,   0.000,   0.089,   0.000,   0.089,   0.068
1977-01-26,   2.400,   0.000,   0.119,   0.000,   0.119,   0.025
1977-01-27,   5.500,   0.000,   0.332,   0.000,   0.332,   0.009
1977-01-28,   6.300,   7.614,   0.064,   0.000,   0.064,   4.278
1977-01-29,   4.200,   0.141,   0.386,   0.000,   0.386,   1.650
1977-01-30,   7.000,   0.000,   0.271,   0.000,   0.271,   0.584
1977-01-31,   7.200,   0.000,   0.369,   0.000,   0.369,   0.209
1977-02-01,   5.200,   0.000,   0.088,   0.000,   0.088,   0.075
1977-02-02,   5.200,   3.408,   0.172,   0.000,   0.172,   1.507
1977-02-03,   6.200,   2.698,   0.070,   0.000,   0.070,   2.202
1977-02-04,   6.800,  15.478,   0.070,   0.000,   0.070,  10.339
1977-02-05,   5.700,   1.562,   0.385,   0.000,   0.385,   4.878
1977-02-06,   7.800,   0.000,   0.442,   0.000,   0.442,   1.722
1977-02-07,   8.200,   0.994,   0.287,   0.000,   0.287,   0.828
1977-02-08,   6.800,   1.988,   0.107,   0.000,   0.107,   1.433
1977-02-09,   4.900,   0.000,   0.177,   0.000,   0.177,   0.514
1977-02-10,   3.600,   0.000,   0.081,   0.000,   0.081,   0.184
1977-02-11,   4.400,   5.680,   0.352,   0.000,   0.352,   3.275
1977-02-12,   5.400,   2.982,   0.409,   0.000,   0.409,   2.900
1977-02-13,   4.200,   8.236,   0.432,   0.000,   0.432,   5.915
1977-02-14,   4.800,   1.136,   0.603,   0.000,   0.603,   2.677
1977-02-15,   5.200,   7.526,   0.101,   0.000,   0.101,   5.465
1977-02-16,   1.500,   4.402,   0.450,   0.000,   0.450,   4.635
1977-02-17,   0.400,   0.284,   0.509,   0.000,   0.509,   1.670
1977-02-18,   2.800,  14.768,   0.096,   0.000,   0.096,   9.528
1977-02-19,   6.900,   2.556,   0.557,   0.000,   0.557,   5.093
1977-02-20,   4.600,   5.822,   0.348,   0.000,   0.348,   5.224
1977-02-21,   3.500,   1.846,   0.588,   0.000,   0.588,   2.824
1977-02-22,   3.100,  13.064,   0.493,   0.000,   0.493,   8.770
1977-02-23,   3.800,  11.928,   0.457,   0.000,   0.457,  10.517
1977-02-24,   2.700,   8.378,   0.572,   0.000,   0.572,   8.894
1977-02-25,   4.000,   5.822,   0.292,   0.000,   0.292,   6.752
1977-02-26,   3.900,   9.372,   0.438,   0.000,   0.438,   8.086
1977-02-27,   3.200,   2.272,   0.210,   0.000,   0.210,   4.362
1977-02-28,   3.900,   1.136,   0.557,   0.000,   0.557,   2.035
1977-03-01,   2.900,   6.345,   0.181,   0.000,   0.181,   4.478
1977-03-02,   4.000,   0.135,   0.406,   0.000,   0.406,   1.673
1977-03-03,   3.100,   0.135,   0.583,   0.000,   0.583,   0.595
1977-03-04,   3.900,   1.485,   0.264,   0.000,   0.264,   0.630
1977-03-05,   6.200,   0.270,   0.328,   0.000,   0.328,   0.233
1977-03-06,   9.300,   0.000,   0.750,   0.000,   0.750,   0.084
1977-03-07,   7.700,  10.665,   0.457,   0.000,   0.457,   5.856
1977-03-08,   5.500,   4.320,   0.157,   0.000,   0.157,   4.853
1977-03-09,   4.400,  12.555,   0.238,   0.000,   0.238,   9.443
1977-03-10,   7.100,   7.155,   0.213,   0.000,   0.213,   7.970
1977-03-11,   6.700,   0.000,   0.942,   0.000,   0.942,   2.815
1977-03-12,   4.600,  11.070,   0.774,   0.000,   0.774,   7.077
1977-03-13,   5.900,   3.915,   0.297,   0.000,   0.297,   4.937
1977-03-14,   4.800,  11.475,   0.825,   0.000,   0.825,   8.506
1977-03-15,   3.900,   7.290,   0.217,   0.000,   0.217,   7.578
1977-03-16,   4.100,   0.675,   0.889,   0.000,   0.889,   2.893
1977-03-17,   2.500,   0.000,   1.107,   0.000,   1.107,   1.027
1977-03-18,   3.200,   4.455,   0.881,   0.000,   0.881,   1.883
1977-03-19,   6.200,   5.535,   0.321,   0.000,   0.321,   3.854
1977-03-20,   6.200,  13.635,   0.262,   0.000,   0.262,   9.733
1977-03-21,   2.300,   6.615,   0.430,   0.000,   0.430,   7.669
1977-03-22,   4.700,  16.335,   0.325,   0.000,   0.325,  12.751
1977-03-23,   4.100,  10.665,   0.760,   0.000,   0.760,  11.149
1977-03-24,   5.800,   6.480,   0.820,   0.000,   0.820,   7.755
1977-03-25,   6.000,   0.405,   1.279,   0.000,   1.279,   2.707
1977-03-26,   5.600,   0.135,   0.654,   0.000,   0.654,   0.947
1977-03-27,   9.000,   0.000,   1.363,   0.000,   1.363,   0.333
1977-03-28,   9.900,   4.860,   1.343,   0.000,   1.343,   0.857
1977-03-29,   6.000,   0.675,   1.055,   0.000,   1.055,   0.297
1977-03-30,   6.800,   1.080,   0.477,   0.000,   0.477,   0.270
1977-03-31,   7.600,   0.000,   1.010,   0.000,   1.010,   0.096
1977-04-01,   4.200,   0.000,   1.694,   0.000,   1.694,   0.035
1977-04-02,  -0.100,   0.000,   1.158,   0.000,   1.158,   0.013
1977-04-03,  -0.200,   0.124,   1.215,   0.000,   1.215,   0.005
1977-04-04,   0.800,   0.000,   1.098,   0.000,   1.098,   0.002
1977-04-05,   3.600,   0.372,   1.387,   0.000,   1.387,   0.001
1977-04-06,   3.900,   1.116,   0.306,   0.000,   0.306,   0.000
1977-04-07,   5.300,   4.836,   0.434,   0.000,   0.434,   0.000
1977-04-08,   6.300,   0.248,   0.844,   0.000,   0.844,   0.000
1977-04-09,   6.200,   0.000,   1.213,   0.000,   1.213,   0.000
1977-04-10,   6.400,   7.440,   0.466,   0.000,   0.466,   1.954
1977-04-11,   9.200,   1.736,   1.287,   0.000,   1.287,   1.175
1977-04-12,  10.800,  18.352,   0.616,   0.000,   0.616,  11.445
1977-04-13,  12.100,   0.124,   1.411,   0.000,   1.411,   4.047
1977-04-14,  13.400,   0.000,   2.126,   0.000,   2.126,   1.158
1977-04-15,   9.300,   1.612,   1.014,   0.000,   1.014,   0.360
1977-04-16,   8.100,   0.124,   0.827,   0.000,   0.827,   0.121
1977-04-17,   5.300,   0.000,   1.721,   0.000,   1.721,   0.044
1977-04-18,   4.700,   3.720,   1.139,   0.000,   1.139,   0.017
1977-04-19,   4.400,   1.364,   1.353,   0.000,   1.353,   0.006
1977-04-20,   5.800,   2.232,   0.891,   0.000,   0.891,   0.173
1977-04-21,   5.400,   0.124,   1.429,   0.000,   1.429,   0.068
1977-04-22,   5.100,   0.124,   1.898,   0.000,   1.898,   0.027
1977-04-23,   3.700,   0.496,   1.721,   0.000,   1.721,   0.011
1977-04-24,   4.000,   4.836,   1.480,   0.000,   1.480,   0.102
1977-04-25,   4.900,   1.488,   0.548,   0.000,   0.548,   0.254
1977-04-26,   5.200,   0.000,   1.247,   0.000,   1.247,   0.101
1977-04-27,   5.900,   0.000,   2.032,   0.000,   2.032,   0.041
1977-04-28,   5.800,   0.000,   2.401,   0.000,   2.401,   0.016
1977-04-29,   5.600,   0.000,   2.198,   0.000,   2.198,   0.006
1977-04-30,   6.400,   0.000,   2.217,   0.000,   2.217,   0.003
1977-05-01,   8.100,   0.339,   1.267,   0.000,   1.267,   0.001
1977-05-02,  10.100,   0.000,   1.631,   0.000,   1.631,   0.000
1977-05-03,  10.800,   0.000,   2.535,   0.000,   2.007,   0.000
1977-05-04,  10.400,   0.226,   2.757,   0.000,   2.192,   0.000
1977-05-05,   8.500,   0.113,   2.892,   0.000,   2.305,   0.000
1977-05-06,   8.400,   0.000,   3.167,   0.000,   2.197,   0.000
1977-05-07,   8.300,   0.226,   1.803,   0.000,   1.274,   0.000
1977-05-08,   9.700,   2.599,   2.314,   0.000,   2.314,   0.000
1977-05-09,   9.000,   0.791,   1.467,   0.000,   1.467,   0.000
1977-05-10,   7.600,   0.113,   2.687,   0.000,   1.957,   0.000
1977-05-11,   9.000,   1.582,   2.226,   0.000,   2.216,   0.000
1977-05-12,   8.600,   5.876,   1.209,   0.000,   1.209,   0.000
1977-05-13,   7.200,   5.198,   2.094,   0.000,   2.094,   0.000
1977-05-14,   9.600,   0.000,   3.175,   0.000,   3.175,   0.000
1977-05-15,  11.800,   0.000,   3.351,   0.000,   3.351,   0.000
1977-05-16,  12.100,   0.000,   3.153,   0.000,   3.105,   0.000
1977-05-17,  10.200,   0.000,   3.782,   0.000,   3.629,   0.000
1977-05-18,  12.100,   0.000,   3.848,   0.000,   2.546,   0.000
1977-05-19,  13.000,   0.226,   2.567,   0.000,   1.495,   0.000
1977-05-20,  13.300,   0.000,   3.955,   0.000,   1.987,   0.000
1977-05-21,  14.600,   0.000,   4.292,   0.000,   1.840,   0.000
1977-05-22,  13.300,   0.000,   4.359,   0.000,   1.271,   0.000
1977-05-23,  14.700,   0.000,   4.416,   0.000,   1.119,   0.000
1977-05-24,  17.100,   0.000,   4.591,   0.000,   1.037,   0.000
1977-05-25,  17.800,   0.000,   4.468,   0.000,   0.921,   0.000
1977-05-26,  11.700,   0.000,   3.834,   0.000,   0.737,   0.000
1977-05-27,  11.700,   0.000,   4.190,   0.000,   0.773,   0.000
1977-05-28,  10.700,   0.000,   3.801,   0.000,   0.692,   0.000
1977-05-29,   9.800,   0.226,   2.134,   0.000,   0.524,   0.000
1977-05-30,   7.400,  27.572,   0.918,   0.000,   0.918,   4.370
1977-05-31,   8.200,   2.260,   2.045,   0.000,   2.045,   0.592
1977-06-01,   8.500,   0.111,   2.366,   0.000,   2.366,   0.131
1977-06-02,   8.300,   0.111,   3.254,   0.000,   3.254,   0.028
1977-06-03,   9.400,   0.000,   3.816,   0.000,   3.491,   0.006
1977-06-04,  11.300,   0.444,   2.608,   0.000,   2.238,   0.001
1977-06-05,  10.200,  10.545,   1.140,   0.000,   1.140,   0.241
1977-06-06,  10.300,   0.000,   2.731,   0.000,   2.731,   0.048
1977-06-07,   9.700,   0.777,   4.062,   0.000,   4.062,   0.010
1977-06-08,   9.500,   1.221,   2.577,   0.000,   2.231,   0.002
1977-06-09,  10.300,   0.333,   2.800,   0.000,   2.104,   0.000
1977-06-10,  11.800,   0.333,   3.903,   0.000,   2.712,   0.000
1977-06-11,  14.600,   0.000,   3.455,   0.000,   2.103,   0.000
1977-06-12,  16.600,   0.000,   4.326,   0.000,   2.435,   0.000
1977-06-13,  17.800,   0.000,   4.636,   0.000,   1.919,   0.000
1977-06-14,  17.900,   0.000,   4.520,   0.000,   1.739,   0.000
1977-06-15,  15.700,   0.000,   4.758,   0.000,   1.388,   0.000
1977-06-16,  15.000,   0.000,   4.809,   0.000,   1.361,   0.000
1977-06-17,  15.700,   0.000,   4.682,   0.000,   1.313,   0.000
1977-06-18,  19.100,   0.000,   5.343,   0.000,   1.501,   0.000
1977-06-19,  18.800,   0.000,   5.392,   0.000,   1.404,   0.000
1977-06-20,  17.700,   0.000,   5.045,   0.000,   1.206,   0.000
1977-06-21,  18.300,   0.000,   4.439,   0.000,   0.978,   0.000
1977-06-22,  17.300,   0.000,   4.406,   0.000,   0.899,   0.000
1977-06-23,  14.800,   0.000,   4.211,   0.000,   0.790,   0.000
1977-06-24,  13.600,   0.000,   3.151,   0.000,   0.544,   0.000
1977-06-25,  15.200,   0.000,   4.687,   0.000,   0.759,   0.000
1977-06-26,  17.900,   0.555,   5.367,   0.000,   1.272,   0.000
1977-06-27,  16.900,   9.435,   3.482,   0.000,   3.482,   0.000
1977-06-28,  13.700,   8.547,   3.479,   0.000,   3.479,   0.000
1977-06-29,  12.800,   1.443,   3.089,   0.000,   3.089,   0.000
1977-06-30,  11.500,   0.444,   4.413,   0.000,   4.413,   0.000
1977-07-01,  11.900,  11.990,   1.772,   0.000,   1.772,   0.278
1977-07-02,  14.600,   0.000,   3.013,   0.000,   3.013,   0.000
1977-07-03,  16.300,   0.000,   5.471,   0.000,   4.826,   0.000
1977-07-04,  17.200,   0.000,   5.744,   0.000,   2.609,   0.000
1977-07-05,  16.800,   0.000,   5.554,   0.000,   2.040,   0.000
1977-07-06,  18.000,   0.000,   4.825,   0.000,   1.469,   0.000
1977-07-07,  21.800,   0.440,   5.696,   0.000,   1.838,   0.000
1977-07-08,  21.100,   0.000,   4.604,   0.000,   1.003,   0.000
1977-07-09,  17.100,   0.000,   4.097,   0.000,   0.781,   0.000
1977-07-10,  15.100,   0.000,   1.780,   0.000,   0.194,   0.000
1977-07-11,  14.700,   1.540,   2.755,   0.000,   1.601,   0.000
1977-07-12,  14.200,   1.540,   1.921,   0.000,   1.649,   0.000
1977-07-13,  13.600,  14.410,   2.831,   0.000,   2.831,   0.189
1977-07-14,  13.400,   0.550,   3.748,   0.000,   3.748,   0.000
1977-07-15,  12.700,   2.750,   1.700,   0.000,   1.700,   0.000
1977-07-16,  11.900,   0.000,   3.500,   0.000,   3.500,   0.000
1977-07-17,  12.600,   0.770,   2.466,   0.000,   2.063,   0.000
1977-07-18,  13.200,   0.000,   4.695,   0.000,   1.370,   0.000
1977-07-19,  12.300,   0.000,   3.152,   0.000,   0.802,   0.000
1977-07-20,  13.900,   0.000,   3.279,   0.000,   0.752,   0.000
1977-07-21,  13.500,   0.000,   2.733,   0.000,   0.571,   0.000
1977-07-22,  16.400,   0.000,   3.824,   0.000,   0.719,   0.000
1977-07-23,  19.500,   0.000,   3.352,   0.000,   0.576,   0.000
1977-07-24,  19.600,   0.000,   3.166,   0.000,   0.515,   0.000
1977-07-25,  20.500,   0.000,   5.275,   0.000,   0.831,   0.000
1977-07-26,  19.800,   0.000,   4.033,   0.000,   0.344,   0.000
1977-07-27,  16.500,   0.000,   3.143,   0.000,   0.276,   0.000
1977-07-28,  15.200,   0.000,   2.739,   0.000,   0.247,   0.000
1977-07-29,  16.500,   1.540,   1.456,   0.000,   1.456,   0.000
1977-07-30,  15.800,  13.640,   1.886,   0.000,   1.886,   0.043
1977-07-31,  13.600,   1.650,   2.909,   0.000,   2.909,   0.000
1977-08-01,  11.700,   8.030,   1.612,   0.000,   1.612,   0.000
1977-08-02,  13.300,   0.000,   2.500,   0.000,   2.454,   0.000
1977-08-03,  13.400,   0.330,   2.337,   0.000,   2.272,   0.000
1977-08-04,  12.700,   1.320,   2.096,   0.000,   2.096,   0.000
1977-08-05,  12.500,   0.550,   2.065,   0.000,   1.670,   0.000
1977-08-06,  13.300,   0.000,   3.299,   0.000,   2.190,   0.000
1977-08-07,  15.300,   0.000,   2.553,   0.000,   1.181,   0.000
1977-08-08,  14.900,   0.000,   1.885,   0.000,   0.805,   0.000
1977-08-09,  14.800,   5.060,   0.925,   0.000,   0.925,   0.000
1977-08-10,  16.800,   0.220,   1.525,   0.000,   1.525,   0.000
1977-08-11,  15.000,   7.260,   1.099,   0.000,   1.099,   0.000
1977-08-12,  14.900,   0.000,   2.180,   0.000,   2.002,   0.000
1977-08-13,  15.200,   1.650,   2.581,   0.000,   2.503,   0.000
1977-08-14,  15.900,   3.850,   2.174,   0.000,   2.159,   0.000
1977-08-15,  17.800,   0.880,   1.817,   0.000,   1.570,   0.000
1977-08-16,  17.800,   2.970,   1.700,   0.000,   1.700,   0.000
1977-08-17,  16.800,   0.110,   2.824,   0.000,   1.799,   0.000
1977-08-18,  14.200,   0.110,   2.081,   0.000,   1.285,   0.000
1977-08-19,  15.700,   0.000,   2.834,   0.000,   1.621,   0.000
1977-08-20,  18.500,   0.000,   2.108,   0.000,   1.166,   0.000
1977-08-21,  16.300,   0.000,   2.521,   0.000,   1.354,   0.000
1977-08-22,  15.300,   0.000,   2.133,   0.000,   1.114,   0.000
1977-08-23,  13.800,   4.070,   1.699,   0.000,   1.699,   0.000
1977-08-24,  14.600,   0.990,   2.100,   0.000,   2.100,   0.000
1977-08-25,  12.400,   0.000,   2.314,   0.000,   1.234,   0.000
1977-08-26,  12.100,   0.000,   1.602,   0.000,   0.494,   0.000
1977-08-27,  10.900,   3.630,   1.322,   0.000,   1.322,   0.000
1977-08-28,  12.400,   0.000,   2.221,   0.000,   1.252,   0.000
1977-08-29,  11.500,   0.000,   2.188,   0.000,   0.700,   0.000
1977-08-30,  13.500,   1.760,   1.109,   0.000,   1.109,   0.000
1977-08-31,  13.700,   7.480,   0.462,   0.000,   0.462,   0.000
1977-09-01,  12.500,  10.545,   1.983,   0.000,   1.983,   0.525
1977-09-02,  12.400,   0.111,   1.585,   0.000,   1.524,   0.000
1977-09-03,  12.100,   0.000,   1.995,   0.000,   1.893,   0.000
1977-09-04,  10.900,   0.444,   1.508,   0.000,   1.478,   0.000
1977-09-05,  12.100,   0.000,   1.516,   0.000,   1.427,   0.000
1977-09-06,  15.000,   0.000,   1.738,   0.000,   1.627,   0.000
1977-09-07,  13.800,   0.000,   1.276,   0.000,   0.978,   0.000
1977-09-08,  13.800,   5.217,   0.386,   0.000,   0.386,   0.000
1977-09-09,  13.800,   0.666,   0.719,   0.000,   0.719,   0.000
1977-09-10,  13.000,   0.000,   0.701,   0.000,   0.701,   0.000
1977-09-11,  11.700,   0.000,   1.984,   0.000,   1.809,   0.000
1977-09-12,  12.200,   0.000,   1.794,   0.000,   1.319,   0.000
1977-09-13,  13.600,   3.441,   1.679,   0.000,   1.658,   0.000
1977-09-14,  13.400,   4.218,   1.089,   0.000,   1.089,   0.000
1977-09-15,  10.800,   5.439,   1.031,   0.000,   1.031,   0.000
1977-09-16,  13.000,   8.325,   1.280,   0.000,   1.280,   0.000
1977-09-17,  12.900,   1.110,   0.753,   0.000,   0.753,   0.000
1977-09-18,  14.300,   0.111,   0.861,   0.000,   0.856,   0.000
1977-09-19,  16.000,   5.217,   0.775,   0.000,   0.775,   0.000
1977-09-20,  13.600,   0.000,   1.533,   0.000,   1.402,   0.000
1977-09-21,  16.400,   0.000,   1.656,   0.000,   1.443,   0.000
1977-09-22,  18.200,   0.000,   1.432,   0.000,   1.231,   0.000
1977-09-23,  14.900,   0.000,   0.792,   0.000,   0.666,   0.000
1977-09-24,  13.800,   0.000,   0.704,   0.000,   0.583,   0.000
1977-09-25,  12.400,   2.109,   1.113,   0.000,   1.113,   0.000
1977-09-26,  10.100,   0.222,   1.029,   0.000,   0.959,   0.000
1977-09-27,  10.000,   0.000,   1.029,   0.000,   0.838,   0.000
1977-09-28,  11.300,   0.111,   0.986,   0.000,   0.835,   0.000
1977-09-29,  11.700,   0.111,   0.906,   0.000,   0.762,   0.000
1977-09-30,  12.600,   0.111,   1.313,   0.000,   1.070,   0.000
1977-10-01,  10.900,   0.000,   0.520,   0.000,   0.497,   0.000
1977-10-02,  11.300,   0.000,   0.833,   0.000,   0.787,   0.000
1977-10-03,   8.500,   0.000,   1.338,   0.000,   0.966,   0.000
1977-10-04,   9.400,   0.000,   0.327,   0.000,   0.298,   0.000
1977-10-05,  11.000,   2.394,   1.103,   0.000,   1.103,   0.000
1977-10-06,  10.100,   6.384,   0.729,   0.000,   0.729,   0.000
1977-10-07,   9.300,   0.684,   0.760,   0.000,   0.760,   0.000
1977-10-08,   8.100,   3.078,   0.510,   0.000,   0.510,   0.000
1977-10-09,   7.300,   1.596,   0.312,   0.000,   0.312,   0.000
1977-10-10,   8.000,   9.576,   0.985,   0.000,   0.985,   0.062
1977-10-11,   7.900,   0.114,   0.782,   0.000,   0.782,   0.000
1977-10-12,   9.500,  12.996,   0.281,   0.000,   0.281,   1.111
1977-10-13,   9.500,  13.224,   0.641,   0.000,   0.641,   5.021
1977-10-14,   7.700,   2.850,   0.718,   0.000,   0.718,   2.922
1977-10-15,   7.200,  25.422,   0.870,   0.000,   0.870,  14.492
1977-10-16,  11.400,   8.322,   0.183,   0.000,   0.183,  10.748
1977-10-17,  13.100,   0.456,   0.237,   0.000,   0.237,   4.104
1977-10-18,  11.700,   0.114,   0.453,   0.000,   0.453,   1.298
1977-10-19,  11.200,   0.000,   0.361,   0.000,   0.361,   0.403
1977-10-20,  11.000,  23.370,   0.239,   0.000,   0.239,  14.247
1977-10-21,  12.300,  13.566,   0.179,   0.000,   0.179,  14.050
1977-10-22,  13.700,   6.042,   0.540,   0.000,   0.540,   8.789
1977-10-23,  12.300,   7.980,   0.401,   0.000,   0.401,   7.828
1977-10-24,  11.100,   1.938,   0.600,   0.000,   0.600,   3.790
1977-10-25,  12.500,   5.586,   0.705,   0.000,   0.705,   4.390
1977-10-26,  11.400,   0.114,   0.627,   0.000,   0.627,   1.580
1977-10-27,   7.800,   0.912,   0.233,   0.000,   0.233,   0.564
1977-10-28,  10.600,   4.674,   0.731,   0.000,   0.731,   2.764
1977-10-29,   9.400,  11.058,   0.252,   0.000,   0.252,   7.678
1977-10-30,   9.900,   0.000,   0.479,   0.000,   0.479,   2.946
1977-10-31,   8.700,   3.192,   0.597,   0.000,   0.597,   2.445
1977-11-01,   9.000,   0.615,   0.629,   0.000,   0.629,   1.117
1977-11-02,   8.200,   3.321,   0.228,   0.000,   0.228,   2.256
1977-11-03,  10.000,   2.583,   0.328,   0.000,   0.328,   2.289
1977-11-04,   8.200,   2.460,   0.304,   0.000,   0.304,   2.204
1977-11-05,   7.200,   5.781,   0.126,   0.000,   0.126,   4.297
1977-11-06,   4.600,   0.123,   0.172,   0.000,   0.172,   1.667
1977-11-07,   3.200,   0.246,   0.394,   0.000,   0.394,   0.591
1977-11-08,   6.500,   5.166,   0.268,   0.000,   0.268,   3.155
1977-11-09,   7.600,   4.305,   0.269,   0.000,   0.269,   3.737
1977-11-10,   6.500,   8.364,   0.082,   0.000,   0.082,   6.512
1977-11-11,   9.600,   0.000,   0.105,   0.000,   0.105,   2.518
1977-11-12,   8.400,   0.123,   0.331,   0.000,   0.331,   0.891
1977-11-13,   7.300,   0.000,   0.105,   0.000,   0.105,   0.318
1977-11-14,   9.200,   0.000,   0.135,   0.000,   0.135,   0.115
1977-11-15,   6.300,   0.000,   0.510,   0.000,   0.510,   0.042
1977-11-16,   1.400,   0.000,   0.399,   0.000,   0.399,   0.015
1977-11-17,   0.400,   0.000,   0.364,   0.000,   0.364,   0.006
1977-11-18,   2.200,   0.000,   0.411,   0.000,   0.411,   0.002
1977-11-19,   1.500,   0.000,   0.356,   0.000,   0.356,   0.001
1977-11-20,  -2.900,   0.000,   0.136,   0.000,   0.136,   0.000
1977-11-21,   0.100,   0.738,   0.153,   0.000,   0.153,   0.000
1977-11-22,   1.600,   0.000,   0.318,   0.000,   0.318,   0.000
1977-11-23,   0.500,   0.492,   0.189,   0.000,   0.189,   0.000
1977-11-24,  -2.200,   0.000,   0.295,   0.000,   0.295,   0.000
1977-11-25,  -2.800,   7.995,   0.084,   0.000,   0.084,   0.000
1977-11-26,   4.700,   0.246,   0.233,   0.000,   0.233,   3.391
1977-11-27,   5.600,   0.000,   0.106,   0.000,   0.106,   1.326
1977-11-28,   0.500,   0.000,   0.195,   0.000,   0.195,   0.473
1977-11-29,   0.700,   0.369,   0.100,   0.000,   0.100,   0.205
1977-11-30,  -1.500,   0.246,   0.163,   0.000,   0.163,   0.076
1977-12-01,  -2.900,   0.000,   0.041,   0.000,   0.041,   0.028
1977-12-02,  -2.300,   0.274,   0.042,   0.000,   0.042,   0.010
1977-12-03,   4.900,   0.137,   0.236,   0.000,   0.236,   0.101
1977-12-04,   6.100,   0.000,   0.275,   0.000,   0.275,   0.037
1977-12-05,   2.500,   0.000,   0.249,   0.000,   0.249,   0.014
1977-12-06,   7.100,   0.411,   0.113,   0.000,   0.113,   0.005
1977-12-07,   3.100,   0.000,   0.249,   0.000,   0.249,   0.002
1977-12-08,   5.400,   0.000,   0.187,   0.000,   0.187,   0.001
1977-12-09,   1.100,   0.822,   0.079,   0.000,   0.079,   0.098
1977-12-10,   3.100,   3.562,   0.062,   0.000,   0.062,   2.148
1977-12-11,   1.800,   3.425,   0.220,   0.000,   0.220,   2.857
1977-12-12,   1.800,   2.603,   0.126,   0.000,   0.126,   2.618
1977-12-13,  -1.300,   0.000,   0.158,   0.000,   0.158,   0.958
1977-12-14,  -2.900,   0.822,   0.069,   0.000,   0.069,   0.343
1977-12-15,  -3.400,   0.000,   0.162,   0.000,   0.162,   0.123
1977-12-16,  -5.300,  22.057,   0.047,   0.000,   0.047,   0.045
1977-12-17,   6.000,   3.151,   0.089,   0.000,   0.089,   9.265
1977-12-18,   6.600,  24.249,   0.169,   0.000,   0.169,  24.990
1977-12-19,   3.800,   5.069,   0.053,   0.000,   0.053,  12.947
1977-12-20,   1.400,  20.824,   0.113,   0.000,   0.113,  17.545
1977-12-21,   7.900,  13.974,   0.054,   0.000,   0.054,  15.374
1977-12-22,   7.400,   1.507,   0.070,   0.000,   0.070,   6.767
1977-12-23,   4.300,   2.603,   0.144,   0.000,   0.144,   3.996
1977-12-24,   6.200,   0.274,   0.056,   0.000,   0.056,   1.616
1977-12-25,   7.500,   0.411,   0.121,   0.000,   0.121,   0.777
1977-12-26,   6.500,   0.548,   0.065,   0.000,   0.065,   0.576
1977-12-27,   3.300,   0.000,   0.033,   0.000,   0.033,   0.210
1977-12-28,   2.200,   0.000,   0.052,   0.000,   0.052,   0.076
1977-12-29,   1.900,   0.000,   0.029,   0.000,   0.029,   0.028
1977-12-30,   0.500,   0.959,   0.026,   0.000,   0.026,   0.517
1977-12-31,  -0.400,   0.000,   0.027,   0.000,   0.027,   0.199
1978-01-01,   0.400,   0.282,   0.041,   0.000,   0.041,   0.214
1978-01-02,   0.200,   0.423,   0.032,   0.000,   0.032,   0.321
1978-01-03,  -0.600,   0.000,   0.051,   0.000,   0.051,   0.114
1978-01-04,  -1.400,   4.089,   0.052,   0.000,   0.052,   0.041
1978-01-05,  -0.700,   0.282,   0.059,   0.000,   0.059,   0.015
1978-01-06,   1.400,   2.820,   0.044,   0.000,   0.044,   3.438
1978-01-07,   3.500,  10.293,   0.093,   0.000,   0.093,   8.523
1978-01-08,   4.900,   0.705,   0.224,   0.000,   0.224,   3.689
1978-01-09,   4.600,   0.423,   0.111,   0.000,   0.111,   1.516
1978-01-10,   5.000,   4.935,   0.125,   0.000,   0.125,   3.511
1978-01-11,   7.200,   1.551,   0.051,   0.000,   0.051,   2.293
1978-01-12,   7.100,   2.961,   0.177,   0.000,   0.177,   2.597
