Time,WatLvl
2015-02-11,32.625267638888886
2015-02-12,32.62
2015-02-13,32.611655
2015-02-14,32.597083715277776
2015-02-15,32.58625618055555
2015-02-16,32.58006739583333
2015-02-17,32.56564791666666
2015-02-18,32.560712465277774
2015-02-19,32.556966180555555
2015-02-20,32.55206503472222
2015-02-21,32.54484597222222
2015-02-22,32.53637055555556
2015-02-23,32.5358656002331
2015-02-24,32.51925399305556
2015-02-25,32.50635211805555
2015-02-26,32.503485590277776
2015-02-27,32.49257725694444
2015-02-28,32.49382826388889
2015-03-01,32.49838673611111
2015-03-02,32.48667038194444
2015-03-03,32.47732201388889
2015-03-04,32.46647822916666
2015-03-05,32.467286458333334
2015-03-06,32.4685475
2015-03-07,32.47332034722222
2015-03-08,32.46872020833333
2015-03-09,32.463718229166666
2015-03-10,32.45848878472222
2015-03-11,32.44946909722222
2015-03-12,32.44305159722222
2015-03-13,32.44149402777778
2015-03-14,32.434051875
2015-03-15,32.42965434027778
2015-03-16,32.426262152777774
2015-03-17,32.42208454861111
2015-03-18,32.416840451388886
2015-03-19,32.41128638888889
2015-03-20,32.4091009375
2015-03-21,32.39462392361111
2015-03-22,32.39303236111111
2015-03-23,32.39083295138889
2015-03-24,32.38471142361111
2015-03-25,32.37720503472222
2015-03-26,32.37817840277778
2015-03-27,32.37344090277777
2015-03-28,32.38405357638889
2015-03-29,32.39843243055555
2015-03-30,32.391068125
2015-03-31,32.3923784375
2015-04-01,32.386127916666666
2015-04-02,32.39665371527778
2015-04-03,32.39945128472222
2015-04-04,32.40047284722222
2015-04-05,32.39984809027778
2015-04-06,32.393457743055556
2015-04-07,32.391906006944446
2015-04-08,32.387574756944446
2015-04-09,32.38329597222222
2015-04-10,32.38089618055555
2015-04-11,32.382558993055554
2015-04-12,32.37724909722222
2015-04-13,32.364417152777776
2015-04-14,32.366891458333335
2015-04-15,32.36660645833333
2015-04-16,32.36067555555555
2015-04-17,32.35097534722222
2015-04-18,32.3506965625
2015-04-19,32.34251100694444
2015-04-20,32.33813517361111
2015-04-21,32.33919770833333
2015-04-22,32.33234409722222
2015-04-23,32.326798124999996
2015-04-24,32.32430819444444
2015-04-25,32.32108826388889
2015-04-26,32.314047986111106
2015-04-27,32.308298541666666
2015-04-28,32.3004840625
2015-04-29,32.29629947916666
2015-04-30,32.290172812499996
2015-05-01,32.28186208333333
2015-05-02,32.27597791666666
2015-05-03,32.27552784722222
2015-05-04,32.268032534722224
2015-05-05,32.26910649305555
2015-05-06,32.262725833333334
2015-05-07,
2015-05-08,
2015-05-09,
2015-05-10,
2015-05-11,
2015-05-12,32.24505468813906
2015-05-13,32.24219597222222
2015-05-14,32.239025625
2015-05-15,32.232162395833335
2015-05-16,32.22803868055556
2015-05-17,32.22643402777778
2015-05-18,32.22588951388889
2015-05-19,32.222383298611106
2015-05-20,32.212793194444444
2015-05-21,32.208160381944445
2015-05-22,32.20818635416666
2015-05-23,32.20254645833333
2015-05-24,32.20297024305555
2015-05-25,32.19846944444444
2015-05-26,32.194608715277774
2015-05-27,32.19097895833333
2015-05-28,32.18914173611111
2015-05-29,32.18681815972222
2015-05-30,32.17997253472222
2015-05-31,32.18255628472222
2015-06-01,32.18123159722222
2015-06-02,32.19389635416667
2015-06-03,32.1978571875
2015-06-04,32.21466774305556
2015-06-05,32.23418854166666
2015-06-06,32.243265451388886
2015-06-07,32.2410865625
2015-06-08,32.238548402777774
2015-06-09,32.2358478125
2015-06-10,32.234252326388884
2015-06-11,32.232766284722224
2015-06-12,32.229890868055556
2015-06-13,32.22665788194444
2015-06-14,32.21679520833333
2015-06-15,32.20719177083333
2015-06-16,32.19834770833333
2015-06-17,32.19348684027778
2015-06-18,32.194895555555554
2015-06-19,32.18876145833333
2015-06-20,32.18186954861111
2015-06-21,32.183676041666665
2015-06-22,32.181314791666665
2015-06-23,32.17562256944444
2015-06-24,32.17239875
2015-06-25,32.16751649305555
2015-06-26,32.16665444444444
2015-06-27,32.162819513888884
2015-06-28,32.16057729166666
2015-06-29,32.15638097222222
2015-06-30,32.15145024305556
2015-07-01,32.154185
2015-07-02,32.15728989583333
2015-07-03,32.15273670138889
2015-07-04,32.150964340277774
2015-07-05,32.148519444444446
2015-07-06,32.142165937499996
2015-07-07,32.14320204861111
2015-07-08,32.13599736111111
2015-07-09,32.124204444444445
2015-07-10,32.12066489583333
2015-07-11,32.119583229166665
2015-07-12,32.115334131944444
2015-07-13,32.112798749999996
2015-07-14,32.105688541666666
2015-07-15,32.101908819444446
2015-07-16,32.097075
2015-07-17,32.09792888888889
2015-07-18,32.095163576388885
2015-07-19,32.08994892361111
2015-07-20,32.08376774305555
2015-07-21,32.082155
2015-07-22,32.08023677083333
2015-07-23,32.07370350694444
2015-07-24,32.06988041666666
2015-07-25,32.06410840277778
2015-07-26,32.065720104166665
2015-07-27,32.07508420138889
2015-07-28,32.07641284722222
2015-07-29,32.07374760416666
2015-07-30,32.06209565972222
2015-07-31,32.06009525157233
2015-08-01,32.06837229166667
2015-08-02,32.062954375
2015-08-03,32.06795822916666
2015-08-04,32.06343625
2015-08-05,32.05514875
2015-08-06,32.057941875
2015-08-07,32.05081520833333
2015-08-08,32.045737083333336
2015-08-09,32.04377510416666
2015-08-10,32.04244395833333
2015-08-11,32.03621854166666
2015-08-12,32.03037833333333
2015-08-13,32.029607291666665
2015-08-14,32.03853708333333
2015-08-15,32.02849520833333
2015-08-16,32.022274895833334
2015-08-17,32.02684791666667
2015-08-18,32.02412635416667
2015-08-19,32.0133096875
2015-08-20,32.006756770833334
