Time,WatLvl
2015-05-20,30.15392847222222
2015-05-21,30.13
2015-05-22,30.10895222222222
2015-05-23,30.11396954861111
2015-05-24,30.101259479166664
2015-05-25,30.108435729166665
2015-05-26,30.099080868055555
2015-05-27,30.087942465277777
2015-05-28,30.087758715277776
2015-05-29,30.088802881944442
2015-05-30,30.21515677083333
2015-05-31,30.21364052083333
2015-06-01,30.354207743055554
2015-06-02,30.359909895833333
2015-06-03,30.649764618055553
2015-06-04,30.251103576388886
2015-06-05,30.178345138888886
2015-06-06,30.162749374999997
2015-06-07,30.135684062499998
2015-06-08,30.121466770833333
2015-06-09,30.115553263888888
2015-06-10,30.107331111111108
2015-06-11,30.104823888888887
2015-06-12,30.097018854166663
2015-06-13,30.100456249999997
2015-06-14,30.125276354166665
2015-06-15,30.103585243055555
2015-06-16,30.088538541666665
2015-06-17,30.1200375
2015-06-18,30.17778364583333
2015-06-19,30.128494201388886
2015-06-20,30.110656840277777
2015-06-21,30.101731041666664
2015-06-22,30.14775315972222
2015-06-23,30.14764756944444
2015-06-24,30.111004826388886
2015-06-25,30.0948353125
2015-06-26,30.086332152777775
2015-06-27,30.088253819444443
2015-06-28,30.08684333333333
2015-06-29,30.091236562499997
2015-06-30,30.081584166666666
2015-07-01,30.080391180555555
2015-07-02,30.08362927083333
2015-07-03,30.08104503472222
2015-07-04,30.08280236111111
2015-07-05,30.084950069444442
2015-07-06,30.096634444444444
2015-07-07,30.086428402777777
2015-07-08,30.099201493055553
2015-07-09,30.103596527777775
2015-07-10,30.089192777777775
2015-07-11,30.087148055555556
2015-07-12,30.088888090277777
2015-07-13,30.089076666666664
2015-07-14,30.081594930555553
2015-07-15,30.077056527777778
2015-07-16,30.071188229166665
2015-07-17,30.072467673611108
2015-07-18,30.07794569444444
2015-07-19,30.07947100694444
2015-07-20,30.12190552083333
2015-07-21,30.09801288194444
2015-07-22,30.091749131944443
2015-07-23,30.082367499999997
2015-07-24,30.07578125
2015-07-25,30.265606944444443
2015-07-26,30.300309652777777
2015-07-27,30.164446354166664
2015-07-28,30.152732430555552
2015-07-29,30.135304027777774
2015-07-30,30.115155312499997
2015-07-31,30.101876493055553
2015-08-01,30.094358090277776
2015-08-02,30.09101298611111
2015-08-03,30.08865427083333
2015-08-04,30.08141614583333
2015-08-05,30.133650729166664
2015-08-06,30.112860972222222
2015-08-07,30.121609965277777
2015-08-08,30.170315763888887
2015-08-09,30.171242638888888
2015-08-10,30.131125729166666
2015-08-11,30.13415163194444
2015-08-12,30.169829930555554
2015-08-13,
2015-08-14,
2015-08-15,
2015-08-16,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-22,
2015-08-23,
2015-08-24,
2015-08-25,
2015-08-26,
2015-08-27,
2015-08-28,
2015-08-29,
2015-08-30,
2015-08-31,
2015-09-01,
2015-09-02,
2015-09-03,30.180555555555554
2015-09-04,30.24124159722222
2015-09-05,30.425072152777776
2015-09-06,30.316976180555553
2015-09-07,30.30387347222222
2015-09-08,30.299871041666666
2015-09-09,30.31623611111111
2015-09-10,30.31955409722222
2015-09-11,30.27980298611111
2015-09-12,30.219992013888888
2015-09-13,30.157636944444445
2015-09-14,30.094781458333333
2015-09-15,30.28599388888889
2015-09-16,30.211806874999997
2015-09-17,30.15498909722222
2015-09-18,30.287642777777776
2015-09-19,30.341408124999997
2015-09-20,30.29671034722222
2015-09-21,30.215198958333332
2015-09-22,30.180247638888886
2015-09-23,30.20479034722222
2015-09-24,30.294595902777775
2015-09-25,30.425285069444442
2015-09-26,30.411808541666666
2015-09-27,30.441041805555553
2015-09-28,30.47206298611111
2015-09-29,30.485177013888887
2015-09-30,30.45126833333333
2015-10-01,30.385222013888885
2015-10-02,30.310991319444444
2015-10-03,30.234692569444444
2015-10-04,30.19285298611111
2015-10-05,30.206237499999997
2015-10-06,30.16367909722222
2015-10-07,30.197032152777776
2015-10-08,30.299375625
2015-10-09,30.351156041666663
2015-10-10,30.378996180555554
2015-10-11,30.36004145833333
2015-10-12,30.332146666666663
2015-10-13,30.323491458333333
2015-10-14,30.31895020833333
2015-10-15,30.301434375
2015-10-16,30.271611874999998
2015-10-17,30.257646180555554
2015-10-18,30.257537152777775
2015-10-19,30.27537722222222
2015-10-20,30.260658611111108
2015-10-21,30.17743201388889
2015-10-22,30.11564423611111
2015-10-23,30.226400763888886
2015-10-24,30.19098534722222
2015-10-25,30.240198125
2015-10-26,30.28911513888889
2015-10-27,30.25620506944444
2015-10-28,30.215317013888885
2015-10-29,30.22591451388889
2015-10-30,30.322570069444442
2015-10-31,30.331236666666666
2015-11-01,30.319389374999997
2015-11-02,30.314607083333332
2015-11-03,30.252923749999997
2015-11-04,30.22660131944444
2015-11-05,30.214904999999998
2015-11-06,30.19651763888889
2015-11-07,30.23268111111111
2015-11-08,30.441158958333332
2015-11-09,30.48025125
2015-11-10,30.35641597222222
2015-11-11,30.342680902777776
2015-11-12,30.441799166666666
2015-11-13,30.340964930555554
2015-11-14,30.566595
2015-11-15,30.374318819444444
2015-11-16,30.369539305555556
2015-11-17,30.319467083333333
2015-11-18,30.391250486111108
2015-11-19,30.43766694444444
2015-11-20,30.582209097222222
2015-11-21,30.33099208333333
2015-11-22,30.283010625
2015-11-23,30.339741041666667
2015-11-24,30.298393124999997
2015-11-25,30.41952611111111
2015-11-26,30.444626180555552
2015-11-27,30.328564444444442
2015-11-28,30.465474444444443
2015-11-29,30.475366944444442
2015-11-30,30.703735555555554
2015-12-01,30.451853472222222
2015-12-02,30.413564583333333
